Census Tract,Label (Grouping),Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races",Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,"Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race, and three or more races"
,"Census Tract 18.06, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 18.06, Durham County, North Carolina",    Estimate,"5,313","4,597","2,180","2,281",0,75,0,0,61,0,61,716,220,21,0,0,0,475,0,0,0
"Census Tract 18.06, Durham County, North Carolina",    Margin of Error,±342,±531,±325,±471,±98,±68,±98,±98,±72,±98,±72,±502,±338,±42,±98,±98,±98,±373,±98,±98,±98
,"Census Tract 18.07, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 18.07, Durham County, North Carolina",    Estimate,"9,283","7,848","2,630","4,794",0,130,0,25,269,0,269,"1,435",473,0,0,0,0,962,0,0,0
"Census Tract 18.07, Durham County, North Carolina",    Margin of Error,±550,±527,±380,±605,±98,±150,±98,±42,±180,±98,±180,±290,±295,±98,±98,±98,±98,±337,±98,±98,±98
,"Census Tract 18.08, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 18.08, Durham County, North Carolina",    Estimate,"4,419","3,835","2,009","1,463",183,43,0,0,137,0,137,584,215,22,0,0,0,347,0,0,0
"Census Tract 18.08, Durham County, North Carolina",    Margin of Error,±455,±403,±255,±377,±156,±69,±98,±98,±141,±98,±141,±244,±99,±33,±98,±98,±98,±256,±98,±98,±98
,"Census Tract 18.09, Durham County, North Carolina",,,,,,,,,,,,,,,,,,,,,
"Census Tract 18.09, Durham County, North Carolina",    Estimate,"6,555","5,141","2,144","2,152",27,477,0,69,272,0,272,"1,414",935,0,10,0,0,469,0,0,0
"Census Tract 18.09, Durham County, North Carolina",    Margin of Error,±657,±721,±416,±483,±22,±440,±98,±80,±207,±98,±207,±884,±862,±98,±17,±98,±98,±502,±98,±98,±98
