CensusTract,ValueType,Total:,Total:!!Not Hispanic or Latino:,Total:!!Not Hispanic or Latino:!!White alone,Total:!!Not Hispanic or Latino:!!Black or African American alone,Total:!!Not Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Not Hispanic or Latino:!!Asian alone,Total:!!Not Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Not Hispanic or Latino:!!Some other race alone,Total:!!Not Hispanic or Latino:!!Two or more races:,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Not Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races,Total:!!Hispanic or Latino:,Total:!!Hispanic or Latino:!!White alone,Total:!!Hispanic or Latino:!!Black or African American alone,Total:!!Hispanic or Latino:!!American Indian and Alaska Native alone,Total:!!Hispanic or Latino:!!Asian alone,Total:!!Hispanic or Latino:!!Native Hawaiian and Other Pacific Islander alone,Total:!!Hispanic or Latino:!!Some other race alone,Total:!!Hispanic or Latino:!!Two or more races:,Total:!!Hispanic or Latino:!!Two or more races:!!Two races including Some other race,Total:!!Hispanic or Latino:!!Two or more races:!!Two races excluding Some other race and three or more races
Census Tract 15.05,Margin of Error,±623,±585,±223,±451,±13,±354,±13,±13,±47,±13,±47,±359,±358,±23,±13,±13,±13,±19,±73,±73,±13
Census Tract 16.01,Estimate,5184,4895,2751,1769,0,131,0,0,244,10,234,289,243,0,0,0,0,0,46,0,46
Census Tract 16.01,Margin of Error,±447,±432,±392,±437,±19,±151,±19,±19,±162,±16,±166,±210,±201,±19,±19,±19,±19,±19,±82,±19,±82
Census Tract 16.03,Estimate,7254,6966,5408,1239,35,141,0,0,143,0,143,288,215,0,0,0,0,13,60,60,0
Census Tract 16.03,Margin of Error,±1023,±1058,±994,±332,±54,±165,±19,±19,±114,±19,±114,±189,±197,±19,±19,±19,±19,±23,±67,±67,±19
Census Tract 16.04,Estimate,6591,6294,3990,1449,0,237,0,89,529,13,516,297,223,0,0,0,0,9,65,65,0
Census Tract 16.04,Margin of Error,±783,±819,±532,±650,±19,±300,±19,±98,±355,±20,±354,±190,±195,±19,±19,±19,±19,±15,±75,±75,±19
Census Tract 17.05,Estimate,5657,4589,2858,1293,34,28,0,0,376,0,376,1068,669,297,15,0,0,55,32,32,0
Census Tract 17.05,Margin of Error,±722,±711,±484,±360,±61,±31,±19,±19,±364,±19,±364,±536,±412,±339,±26,±19,±19,±99,±52,±52,±19
Census Tract 17.06,Estimate,5219,4465,2764,1063,0,363,0,0,275,17,258,754,326,0,27,0,0,0,401,401,0
Census Tract 17.06,Margin of Error,±751,±442,±406,±443,±19,±183,±19,±19,±238,±28,±238,±561,±178,±19,±41,±19,±19,±19,±578,±578,±19
Census Tract 17.08,Estimate,5049,4530,804,3615,0,67,0,0,44,0,44,519,329,0,0,0,0,190,0,0,0
Census Tract 17.08,Margin of Error,±924,±910,±241,±945,±19,±89,±19,±19,±62,±19,±62,±144,±253,±19,±19,±19,±19,±144,±19,±19,±19
Census Tract 17.09,Estimate,7258,5765,694,4820,0,67,0,0,184,102,82,1493,519,26,0,0,0,466,482,482,0
Census Tract 17.09,Margin of Error,±953,±839,±251,±865,±19,±79,±19,±19,±189,±164,±98,±597,±394,±41,±19,±19,±19,±337,±477,±477,±19
Census Tract 17.10,Estimate,4847,3884,1199,2328,0,276,0,0,81,0,81,963,451,10,0,0,0,411,91,91,0
