GEO_ID,geoid10,NAME,Population Groups,Estimate!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars),Margin of Error!!Median household income in the past 12 months (in 2021 inflation-adjusted dollars)
1400000U,17031151001,Census Tract 1510.01,Total population,85670,13126
1400000U,17031151002,Census Tract 1510.02,Total population,68906,14742
1400000U,17031151100,Census Tract 1511,Total population,69875,12134
1400000U,17031151200,Census Tract 1512,Total population,80907,6820
1400000U,17031160100,Census Tract 1601,Total population,88625,16644
1400000U,17031160200,Census Tract 1602,Total population,113482,32747
1400000U,17031160300,Census Tract 1603,Total population,74125,11014
1400000U,17031160400,Census Tract 1604,Total population,70764,15815
1400000U,17031160501,Census Tract 1605.01,Total population,75563,18564
1400000U,17031160502,Census Tract 1605.02,Total population,82742,16195
1400000U,17031160601,Census Tract 1606.01,Total population,73796,18515
1400000U,17031160602,Census Tract 1606.02,Total population,78250,18389
1400000U,17031160700,Census Tract 1607,Total population,76469,28496
1400000U,17031160800,Census Tract 1608,Total population,75088,12626
1400000U,17031160900,Census Tract 1609,Total population,91615,15280
1400000U,17031161000,Census Tract 1610,Total population,95144,8757
1400000U,17031161100,Census Tract 1611,Total population,137750,27091
1400000U,17031161200,Census Tract 1612,Total population,62833,15661
1400000U,17031161300,Census Tract 1613,Total population,49460,9529
1400000U,17031170100,Census Tract 1701,Total population,48438,19959
1400000U,17031170200,Census Tract 1702,Total population,80550,23435
1400000U,17031170300,Census Tract 1703,Total population,78913,21555
1400000U,17031170400,Census Tract 1704,Total population,85066,19972
1400000U,17031170500,Census Tract 1705,Total population,91713,16381
1400000U,17031170600,Census Tract 1706,Total population,70925,8529
1400000U,17031170700,Census Tract 1707,Total population,75854,7772
1400000U,17031170800,Census Tract 1708,Total population,62165,23160
1400000U,17031170900,Census Tract 1709,Total population,74706,19708
1400000U,17031171000,Census Tract 1710,Total population,80034,16445
1400000U,17031171100,Census Tract 1711,Total population,84777,18335
1400000U,17031180100,Census Tract 1801,Total population,61368,34068
1400000U,17031190100,Census Tract 1901,Total population,48352,11050
1400000U,17031190200,Census Tract 1902,Total population,72667,9900
1400000U,17031190300,Census Tract 1903,Total population,73444,14141
1400000U,17031190401,Census Tract 1904.01,Total population,77063,12991
1400000U,17031190402,Census Tract 1904.02,Total population,52115,9802
1400000U,17031190601,Census Tract 1906.01,Total population,63589,14028
1400000U,17031190602,Census Tract 1906.02,Total population,56689,14272
1400000U,17031190701,Census Tract 1907.01,Total population,59000,17187
1400000U,17031190702,Census Tract 1907.02,Total population,49125,12748
1400000U,17031190800,Census Tract 1908,Total population,54617,18449
1400000U,17031190900,Census Tract 1909,Total population,64242,8633
1400000U,17031191000,Census Tract 1910,Total population,59000,20088
1400000U,17031191100,Census Tract 1911,Total population,55907,13489
1400000U,17031191200,Census Tract 1912,Total population,54938,15098
1400000U,17031191301,Census Tract 1913.01,Total population,57981,18984
1400000U,17031191302,Census Tract 1913.02,Total population,67572,20268
1400000U,17031200100,Census Tract 2001,Total population,63523,11505
1400000U,17031200200,Census Tract 2002,Total population,61319,8593
1400000U,17031200300,Census Tract 2003,Total population,56125,22067
1400000U,17031200401,Census Tract 2004.01,Total population,64559,11292
1400000U,17031200402,Census Tract 2004.02,Total population,68872,7800
1400000U,17031210100,Census Tract 2101,Total population,94781,9375
1400000U,17031210400,Census Tract 2104,Total population,55455,23318
1400000U,17031210501,Census Tract 2105.01,Total population,54481,13533
1400000U,17031210502,Census Tract 2105.02,Total population,65968,9388
1400000U,17031210601,Census Tract 2106.01,Total population,85545,7955
1400000U,17031210602,Census Tract 2106.02,Total population,94605,18217
1400000U,17031210700,Census Tract 2107,Total population,77442,18573
1400000U,17031210800,Census Tract 2108,Total population,67308,38537
1400000U,17031210900,Census Tract 2109,Total population,95975,19080
1400000U,17031220300,Census Tract 2203,Total population,96641,15139
1400000U,17031220400,Census Tract 2204,Total population,95962,27720
1400000U,17031220500,Census Tract 2205,Total population,86953,19730
1400000U,17031220601,Census Tract 2206.01,Total population,113063,19834
1400000U,17031220602,Census Tract 2206.02,Total population,61159,11919
1400000U,17031220701,Census Tract 2207.01,Total population,70022,6572
1400000U,17031220702,Census Tract 2207.02,Total population,71174,15014
1400000U,17031220901,Census Tract 2209.01,Total population,74167,26415
1400000U,17031220902,Census Tract 2209.02,Total population,69167,11778
1400000U,17031221000,Census Tract 2210,Total population,82813,20493
1400000U,17031221100,Census Tract 2211,Total population,78073,10819
1400000U,17031221200,Census Tract 2212,Total population,124450,16294
1400000U,17031221300,Census Tract 2213,Total population,69643,18913
1400000U,17031221400,Census Tract 2214,Total population,97404,23726
1400000U,17031221500,Census Tract 2215,Total population,62952,21447
1400000U,17031221600,Census Tract 2216,Total population,143750,21224
1400000U,17031222200,Census Tract 2222,Total population,167188,25401
1400000U,17031222500,Census Tract 2225,Total population,103125,19797
1400000U,17031222600,Census Tract 2226,Total population,75078,20405
1400000U,17031222700,Census Tract 2227,Total population,75943,5930
1400000U,17031222800,Census Tract 2228,Total population,80850,22315
1400000U,17031222900,Census Tract 2229,Total population,74940,31548
1400000U,17031230100,Census Tract 2301,Total population,84583,32796
1400000U,17031230200,Census Tract 2302,Total population,64844,19567
1400000U,17031230300,Census Tract 2303,Total population,52557,8913
1400000U,17031230400,Census Tract 2304,Total population,76286,13798
1400000U,17031230500,Census Tract 2305,Total population,24250,11892
1400000U,17031230600,Census Tract 2306,Total population,50603,17318
1400000U,17031230700,Census Tract 2307,Total population,42891,8545
1400000U,17031230800,Census Tract 2308,Total population,61111,29178
1400000U,17031230900,Census Tract 2309,Total population,60337,10078
1400000U,17031231100,Census Tract 2311,Total population,55714,8962
