,Segment,PermitIssueDate,PermitType
274,128,9/24/2012 0:00,Reno_Alt_add
275,128,9/24/2012 0:00,Reno_Alt_add
276,128,9/24/2012 0:00,Reno_Alt_add
277,128,11/5/2013 0:00,Reno_Alt_add
278,260/275,1/29/2015 0:00,Reno_Alt_add
279,157,6/3/2014 0:00,Reno_Alt_add
280,306,8/17/2015 0:00,Reno_Alt_add
281,306,7/31/2015 0:00,Reno_Alt_add
282,292,5/1/2017 0:00,Reno_Alt_add
283,292,5/23/2017 0:00,Reno_Alt_add
284,16,8/6/2017 0:00,Reno_Alt_add
285,244,4/11/2018 0:00,Reno_Alt_add
286,306,10/9/2018 0:00,Reno_Alt_add
287,324,6/4/2019 0:00,Reno_Alt_add
288,306,5/20/2020 0:00,Reno_Alt_add
289,292,5/11/2020 0:00,Reno_Alt_add
290,244,10/15/2020 0:00,Reno_Alt_add
291,244,10/13/2010 0:00,Reno_Alt_add
292,292,10/27/2011 0:00,Reno_Alt_add
293,324,9/3/2014 0:00,Reno_Alt_add
294,260/275,10/2/2015 0:00,Reno_Alt_add
295,260/275,11/14/2023 0:00,Reno_Alt_add
296,292,3/25/2009 0:00,Reno_Alt_add
297,55,4/28/2020 0:00,Reno_Alt_add
298,260/275,10/27/2022 0:00,Reno_Alt_add
299,57,9/29/2021 0:00,Reno_Alt_add
300,260/275,5/10/2022 0:00,Reno_Alt_add
301,260/275,5/10/2022 0:00,Reno_Alt_add
302,260/275,2/19/2015 0:00,Reno_Alt_add
303,244,7/15/2008 0:00,NewConst
304,244,7/15/2008 0:00,NewConst
305,244,7/15/2008 0:00,NewConst
306,244,10/8/2008 0:00,NewConst
307,244,10/17/2008 0:00,NewConst
308,244,10/17/2008 0:00,NewConst
309,244,10/28/2008 0:00,NewConst
310,16,11/8/2018 0:00,Reno_Alt_add
311,292,10/6/2020 0:00,Reno_Alt_add
312,292,6/2/2021 0:00,Reno_Alt_add
313,49,11/28/2011 0:00,Reno_Alt_add
314,244,7/8/2015 0:00,Reno_Alt_add
315,260/275,7/7/2007 0:00,Reno_Alt_add
316,324,1/12/2006 0:00,Reno_Alt_add
317,324,2/8/2006 0:00,Demo
318,153,2/2/2006 0:00,NewConst
319,153,2/2/2006 0:00,NewConst
320,157,7/7/2007 0:00,Reno_Alt_add
321,55,1/4/2006 0:00,Reno_Alt_add
322,324,1/4/2006 0:00,Reno_Alt_add
323,57,1/3/2006 0:00,Reno_Alt_add
324,324,4/17/2006 0:00,Reno_Alt_add
325,260/275,1/13/2006 0:00,Reno_Alt_add
326,153,6/5/2006 0:00,NewConst
327,306,1/25/2006 0:00,Reno_Alt_add
328,16,1/26/2006 0:00,Reno_Alt_add
329,260/275,5/17/2006 0:00,Reno_Alt_add
330,281,1/31/2006 0:00,Reno_Alt_add
331,260/275,2/15/2006 0:00,Reno_Alt_add
332,244,2/1/2006 0:00,Reno_Alt_add
333,281,2/1/2006 0:00,Reno_Alt_add
334,324,3/1/2006 0:00,Demo
335,324,2/7/2006 0:00,Reno_Alt_add
336,324,2/23/2006 0:00,Reno_Alt_add
337,260/275,2/7/2006 0:00,Reno_Alt_add
338,292,2/8/2006 0:00,Reno_Alt_add
339,244,5/5/2006 0:00,Reno_Alt_add
340,244,2/28/2006 0:00,Reno_Alt_add
341,281,3/7/2006 0:00,Reno_Alt_add
342,324,8/15/2006 0:00,Reno_Alt_add
343,268,2/21/2006 0:00,Reno_Alt_add
344,260/275,2/23/2006 0:00,Reno_Alt_add
345,292,5/3/2006 0:00,Reno_Alt_add
346,16,3/7/2006 0:00,Reno_Alt_add
347,281,3/9/2006 0:00,Reno_Alt_add
348,244,3/9/2006 0:00,Reno_Alt_add
349,324,3/14/2006 0:00,Reno_Alt_add
350,153,3/28/2006 0:00,NewConst
351,260/275,6/16/2006 0:00,Reno_Alt_add
352,324,4/6/2006 0:00,Reno_Alt_add
353,153,7/11/2006 0:00,Reno_Alt_add
354,57,3/24/2006 0:00,Reno_Alt_add
355,57,4/10/2006 0:00,NewConst
356,57,4/10/2006 0:00,NewConst
357,57,4/10/2006 0:00,NewConst
358,157,4/20/2006 0:00,Reno_Alt_add
359,292,8/1/2006 0:00,Reno_Alt_add
360,292,3/31/2006 0:00,Reno_Alt_add
361,260/275,4/3/2006 0:00,Reno_Alt_add
362,55,5/9/2006 0:00,Reno_Alt_add
363,57,4/10/2006 0:00,Reno_Alt_add
364,57,4/10/2006 0:00,Reno_Alt_add
365,244,7/28/2009 0:00,Reno_Alt_add
366,244,4/12/2006 0:00,Reno_Alt_add
367,324,5/24/2006 0:00,Reno_Alt_add
368,260/275,4/19/2006 0:00,Reno_Alt_add
369,324,4/24/2006 0:00,Reno_Alt_add
